-3.91,	 10203,	 10914
-3.90,	 10474,	 11062
-3.89,	 10668,	 11142
-3.88,	 10682,	 11339
-3.87,	 10769,	 11319
-3.86,	 10782,	 11557
-3.85,	 10870,	 11655
-3.84,	 11001,	 11929
-3.83,	 11189,	 11768
-3.82,	 11339,	 12192
-3.81,	 11477,	 12075
-3.80,	 11273,	 12378
-3.79,	 11739,	 12401
-3.78,	 12007,	 12340
-3.77,	 11972,	 12599
-3.76,	 12060,	 12755
-3.75,	 11965,	 12983
-3.74,	 12327,	 12882
-3.73,	 12308,	 13039
-3.72,	 12334,	 13120
-3.71,	 12506,	 13247
-3.70,	 12688,	 13520
-3.69,	 12887,	 13621
-3.68,	 13065,	 13729
-3.67,	 12978,	 13991
-3.66,	 13049,	 13972
-3.65,	 13155,	 14312
-3.64,	 13454,	 14342
-3.63,	 13441,	 14562
-3.62,	 13644,	 14528
-3.61,	 13834,	 14923
-3.60,	 13978,	 14801
-3.59,	 14167,	 14936
-3.58,	 14205,	 15175
-3.57,	 14428,	 15517
-3.56,	 14484,	 15519
-3.55,	 14670,	 15403
-3.54,	 14758,	 15771
-3.53,	 14860,	 15853
-3.52,	 14917,	 15994
-3.51,	 15038,	 16015
-3.50,	 15425,	 16134
-3.49,	 15375,	 16361
-3.48,	 15518,	 16472
-3.47,	 15534,	 16730
-3.46,	 15833,	 16858
-3.45,	 16045,	 16967
-3.44,	 16223,	 16815
-3.43,	 16222,	 17275
-3.42,	 16512,	 17263
-3.41,	 16305,	 17464
-3.40,	 16508,	 17614
-3.39,	 16632,	 17550
-3.38,	 16793,	 17907
-3.37,	 16920,	 18109
-3.36,	 17260,	 18410
-3.35,	 17391,	 18474
-3.34,	 17562,	 18519
-3.33,	 17699,	 18701
-3.32,	 17690,	 18806
-3.31,	 17893,	 18833
-3.30,	 18215,	 19145
-3.29,	 18292,	 19592
-3.28,	 18252,	 19315
-3.27,	 18409,	 19575
-3.26,	 18457,	 19703
-3.25,	 18864,	 19921
-3.24,	 18984,	 19875
-3.23,	 18952,	 20040
-3.22,	 18902,	 20110
-3.21,	 19321,	 20482
-3.20,	 19850,	 20610
-3.19,	 19743,	 20488
-3.18,	 19833,	 20767
-3.17,	 20049,	 20965
-3.16,	 20265,	 21045
-3.15,	 20191,	 21440
-3.14,	 20662,	 21435
-3.13,	 20788,	 21733
-3.12,	 20854,	 21761
-3.11,	 20815,	 21896
-3.10,	 21289,	 21936
-3.09,	 21330,	 22173
-3.08,	 21175,	 22307
-3.07,	 21582,	 22342
-3.06,	 21807,	 22391
-3.05,	 22111,	 22922
-3.04,	 22135,	 22978
-3.03,	 22287,	 22927
-3.02,	 22277,	 23091
-3.01,	 22867,	 23348
-3.00,	 23050,	 23408
-2.99,	 22905,	 23615
-2.98,	 23267,	 23965
-2.97,	 23134,	 24175
-2.96,	 23206,	 24158
-2.95,	 23387,	 24603
-2.94,	 23715,	 24597
-2.93,	 23652,	 24567
-2.92,	 23855,	 24900
-2.91,	 24157,	 25135
-2.90,	 24131,	 25008
-2.89,	 24689,	 25042
-2.88,	 24863,	 25544
-2.87,	 25132,	 25332
-2.86,	 25003,	 25570
-2.85,	 25293,	 25798
-2.84,	 25476,	 25925
-2.83,	 25640,	 26074
-2.82,	 25604,	 26468
-2.81,	 25716,	 26216
-2.80,	 26192,	 26561
-2.79,	 26412,	 26776
-2.78,	 26253,	 26786
-2.77,	 26615,	 26891
-2.76,	 26700,	 27367
-2.75,	 26838,	 27431
-2.74,	 27213,	 27280
-2.73,	 27327,	 27763
-2.72,	 27818,	 27734
-2.71,	 27868,	 28040
-2.70,	 27630,	 28377
-2.69,	 28115,	 28339
-2.68,	 28280,	 28235
-2.67,	 28605,	 28684
-2.66,	 28532,	 28820
-2.65,	 28717,	 29063
-2.64,	 29157,	 29143
-2.63,	 29277,	 29147
-2.62,	 29315,	 29609
-2.61,	 28983,	 29688
-2.60,	 29579,	 29698
-2.59,	 30104,	 29858
-2.58,	 30079,	 30090
-2.57,	 30363,	 29959
-2.56,	 30195,	 30339
-2.55,	 30360,	 30592
-2.54,	 30677,	 30761
-2.53,	 31037,	 31256
-2.52,	 31383,	 31000
-2.51,	 31689,	 30977
-2.50,	 31593,	 31419
-2.49,	 31934,	 31651
-2.48,	 31935,	 31963
-2.47,	 32081,	 32019
-2.46,	 32351,	 31856
-2.45,	 32511,	 32443
-2.44,	 32668,	 32578
-2.43,	 32814,	 32624
-2.42,	 33179,	 32832
-2.41,	 33524,	 32896
-2.40,	 33642,	 33461
-2.39,	 33911,	 33048
-2.38,	 33759,	 33559
-2.37,	 33844,	 33901
-2.36,	 34066,	 33823
-2.35,	 34593,	 33993
-2.34,	 34635,	 34073
-2.33,	 34859,	 34467
-2.32,	 35294,	 34378
-2.31,	 35191,	 34428
-2.30,	 35250,	 34579
-2.29,	 35815,	 34742
-2.28,	 35527,	 35067
-2.27,	 35799,	 35225
-2.26,	 36047,	 35070
-2.25,	 36418,	 35977
-2.24,	 36539,	 35655
-2.23,	 36743,	 36006
-2.22,	 36820,	 36373
-2.21,	 37168,	 36333
-2.20,	 37266,	 36315
