score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,70
,,,N,21238
,,,fft,18
,,,enum,27
,,,cores,40
,,,walltime,34631.57267406583
,,,cputime,68.89366708700001
401,-14.292,-14.257,,
402,-14.35,-14.315,,
403,-14.408,-14.372,,
404,-14.466,-14.43,,
405,-14.524,-14.488,,
406,-14.583,-14.546,,
407,-14.641,-14.604,,
408,-14.699,-14.662,,
409,-14.758,-14.721,,
410,-14.817,-14.779,,
411,-14.876,-14.838,,
412,-14.935,-14.897,,
413,-14.994,-14.956,,
414,-15.054,-15.015,,
415,-15.113,-15.074,,
416,-15.173,-15.133,,
417,-15.232,-15.193,,
418,-15.292,-15.252,,
419,-15.352,-15.312,,
420,-15.412,-15.372,,
421,-15.472,-15.432,,
422,-15.533,-15.492,,
423,-15.593,-15.552,,
424,-15.654,-15.612,,
425,-15.715,-15.673,,
426,-15.776,-15.733,,
427,-15.837,-15.794,,
428,-15.898,-15.855,,
429,-15.959,-15.916,,
430,-16.02,-15.977,,
431,-16.082,-16.038,,
432,-16.144,-16.099,,
433,-16.205,-16.161,,
434,-16.267,-16.222,,
435,-16.329,-16.284,,
436,-16.392,-16.346,,
437,-16.454,-16.408,,
438,-16.516,-16.47,,
439,-16.579,-16.532,,
440,-16.642,-16.595,,
441,-16.704,-16.657,,
442,-16.767,-16.72,,
443,-16.83,-16.783,,
444,-16.894,-16.846,,
445,-16.957,-16.909,,
446,-17.021,-16.972,,
447,-17.084,-17.035,,
448,-17.148,-17.098,,
449,-17.212,-17.162,,
450,-17.276,-17.226,,
451,-17.34,-17.289,,
452,-17.404,-17.353,,
453,-17.469,-17.417,,
454,-17.533,-17.482,,
455,-17.598,-17.546,,
456,-17.663,-17.61,,
457,-17.727,-17.675,,
458,-17.793,-17.74,,
459,-17.858,-17.804,,
460,-17.923,-17.869,,
461,-17.988,-17.934,,
462,-18.054,-18.0,,
463,-18.12,-18.065,,
464,-18.186,-18.13,,
465,-18.252,-18.196,,
466,-18.318,-18.262,,
467,-18.384,-18.328,,
468,-18.45,-18.394,,
469,-18.517,-18.46,,
470,-18.583,-18.526,,
471,-18.65,-18.592,,
472,-18.717,-18.659,,
473,-18.784,-18.725,,
474,-18.851,-18.792,,
475,-18.918,-18.859,,
476,-18.986,-18.926,,
477,-19.053,-18.993,,
478,-19.121,-19.061,,
479,-19.189,-19.128,,
480,-19.257,-19.195,,
481,-19.325,-19.263,,
482,-19.393,-19.331,,
483,-19.461,-19.399,,
484,-19.53,-19.467,,
485,-19.598,-19.535,,
486,-19.667,-19.603,,
487,-19.736,-19.672,,
488,-19.805,-19.74,,
489,-19.874,-19.809,,
490,-19.943,-19.878,,
491,-20.012,-19.947,,
492,-20.082,-20.016,,
493,-20.152,-20.085,,
494,-20.221,-20.154,,
495,-20.291,-20.224,,
496,-20.361,-20.293,,
497,-20.431,-20.363,,
498,-20.502,-20.433,,
499,-20.572,-20.503,,
500,-20.643,-20.573,,
501,-20.713,-20.643,,
502,-20.784,-20.714,,
503,-20.855,-20.784,,
504,-20.926,-20.855,,
505,-20.997,-20.926,,
506,-21.069,-20.997,,
507,-21.14,-21.068,,
508,-21.212,-21.139,,
509,-21.283,-21.21,,
510,-21.355,-21.281,,
511,-21.427,-21.353,,
512,-21.499,-21.424,,
513,-21.572,-21.496,,
514,-21.644,-21.568,,
515,-21.717,-21.64,,
516,-21.789,-21.712,,
517,-21.862,-21.785,,
518,-21.935,-21.857,,
519,-22.008,-21.93,,
520,-22.081,-22.003,,
521,-22.154,-22.076,,
522,-22.228,-22.148,,
523,-22.301,-22.222,,
524,-22.375,-22.295,,
525,-22.449,-22.368,,
526,-22.523,-22.441,,
527,-22.597,-22.515,,
528,-22.671,-22.589,,
529,-22.746,-22.663,,
530,-22.82,-22.737,,
531,-22.895,-22.811,,
532,-22.969,-22.885,,
533,-23.044,-22.96,,
534,-23.119,-23.034,,
535,-23.194,-23.109,,
536,-23.27,-23.183,,
537,-23.345,-23.259,,
538,-23.421,-23.333,,
539,-23.496,-23.409,,
540,-23.572,-23.484,,
541,-23.648,-23.559,,
542,-23.724,-23.635,,
543,-23.8,-23.711,,
544,-23.877,-23.786,,
545,-23.953,-23.862,,
546,-24.03,-23.938,,
547,-24.107,-24.014,,
548,-24.183,-24.091,,
549,-24.26,-24.167,,
550,-24.337,-24.243,,
551,-24.415,-24.32,,
552,-24.492,-24.397,,
553,-24.57,-24.473,,
554,-24.647,-24.55,,
555,-24.725,-24.628,,
556,-24.803,-24.705,,
557,-24.881,-24.782,,
558,-24.959,-24.859,,
559,-25.038,-24.937,,
560,-25.116,-25.015,,
561,-25.195,-25.093,,
562,-25.273,-25.172,,
563,-25.352,-25.251,,
564,-25.431,-25.328,,
565,-25.51,-25.407,,
566,-25.589,-25.486,,
567,-25.669,-25.565,,
568,-25.748,-25.644,,
569,-25.828,-25.724,,
570,-25.908,-25.803,,
571,-25.988,-25.882,,
572,-26.068,-25.962,,
573,-26.148,-26.041,,
574,-26.228,-26.12,,
575,-26.308,-26.2,,
576,-26.389,-26.281,,
577,-26.47,-26.361,,
578,-26.55,-26.441,,
579,-26.631,-26.521,,
580,-26.713,-26.602,,
581,-26.794,-26.682,,
582,-26.875,-26.763,,
583,-26.957,-26.843,,
584,-27.038,-26.925,,
585,-27.12,-27.008,,
586,-27.202,-27.089,,
587,-27.284,-27.171,,
588,-27.366,-27.253,,
589,-27.448,-27.335,,
590,-27.531,-27.416,,
591,-27.613,-27.497,,
592,-27.696,-27.579,,
593,-27.779,-27.661,,
594,-27.862,-27.744,,
595,-27.945,-27.826,,
596,-28.028,-27.907,,
597,-28.111,-27.99,,
598,-28.195,-28.072,,
599,-28.278,-28.154,,
600,-28.362,-28.236,,
601,-28.446,-28.32,,
602,-28.53,-28.404,,
603,-28.614,-28.488,,
604,-28.698,-28.573,,
605,-28.783,-28.657,,
606,-28.867,-28.741,,
607,-28.952,-28.826,,
608,-29.037,-28.91,,
609,-29.121,-28.995,,
610,-29.207,-29.077,,
611,-29.292,-29.162,,
612,-29.377,-29.245,,
613,-29.462,-29.331,,
614,-29.548,-29.415,,
615,-29.634,-29.498,,
616,-29.72,-29.585,,
617,-29.806,-29.672,,
618,-29.892,-29.758,,
619,-29.978,-29.842,,
620,-30.064,-29.926,,
621,-30.151,-30.011,,
622,-30.238,-30.095,,
623,-30.324,-30.183,,
624,-30.411,-30.271,,
625,-30.498,-30.359,,
626,-30.585,-30.447,,
627,-30.673,-30.536,,
628,-30.76,-30.624,,
629,-30.848,-30.711,,
630,-30.935,-30.796,,
631,-31.023,-30.884,,
632,-31.111,-30.971,,
633,-31.199,-31.056,,
634,-31.288,-31.14,,
635,-31.376,-31.227,,
636,-31.464,-31.319,,
637,-31.553,-31.408,,
638,-31.642,-31.499,,
639,-31.731,-31.584,,
640,-31.82,-31.67,,
641,-31.909,-31.754,,
642,-31.998,-31.841,,
643,-32.088,-31.929,,
644,-32.177,-32.01,,
645,-32.267,-32.1,,
646,-32.357,-32.186,,
647,-32.447,-32.274,,
648,-32.537,-32.367,,
649,-32.627,-32.447,,
650,-32.717,-32.529,,
651,-32.808,-32.615,,
652,-32.899,-32.706,,
653,-32.989,-32.794,,
654,-33.08,-32.89,,
655,-33.171,-32.976,,
656,-33.262,-33.063,,
657,-33.354,-33.151,,
658,-33.445,-33.239,,
659,-33.537,-33.33,,
660,-33.628,-33.418,,
661,-33.72,-33.513,,
662,-33.812,-33.602,,
663,-33.904,-33.691,,
