score,cdf_pred,cdf_real,metakey,metaval
,,,n,40
,,,N,284
,,,log_samples,15
,,,gh_factor,0.7
,,,cores,4
,,,walltime,2.8403145350002887
,,,cputime,0.29658193099999997
,,,real_avg,31.102270533408554
,,,real_med,29.42617039040595
,,,real_var,402.83293392227336
,,,pred_avg,30.966455521021825
,,,pred_med,30.966455521021825
,,,pred_var,138.60233661702665
47.994,0.926,0.811,,
48.094,0.927,0.812,,
48.178,0.928,0.813,,
48.237,0.929,0.814,,
48.321,0.93,0.814,,
48.414,0.931,0.815,,
48.494,0.932,0.816,,
48.609,0.933,0.817,,
48.672,0.934,0.818,,
48.736,0.934,0.819,,
48.8,0.935,0.82,,
48.862,0.936,0.821,,
48.96,0.937,0.822,,
49.037,0.938,0.823,,
49.134,0.939,0.824,,
49.238,0.94,0.825,,
49.302,0.94,0.826,,
49.401,0.941,0.827,,
49.485,0.942,0.828,,
49.561,0.943,0.829,,
49.63,0.944,0.83,,
49.707,0.944,0.831,,
49.792,0.945,0.832,,
49.893,0.946,0.833,,
49.981,0.947,0.834,,
50.072,0.948,0.835,,
50.161,0.948,0.836,,
50.249,0.949,0.837,,
50.331,0.95,0.838,,
50.409,0.951,0.839,,
50.498,0.951,0.84,,
50.574,0.952,0.841,,
50.69,0.953,0.842,,
50.757,0.954,0.843,,
50.845,0.954,0.844,,
50.93,0.955,0.845,,
51.03,0.956,0.846,,
51.101,0.956,0.847,,
51.2,0.957,0.848,,
51.321,0.958,0.849,,
51.392,0.959,0.85,,
51.516,0.96,0.851,,
51.603,0.96,0.852,,
51.692,0.961,0.853,,
51.779,0.961,0.854,,
51.888,0.962,0.855,,
51.996,0.963,0.855,,
52.094,0.964,0.856,,
52.214,0.964,0.857,,
52.301,0.965,0.858,,
52.39,0.966,0.859,,
52.52,0.966,0.86,,
52.613,0.967,0.861,,
52.734,0.968,0.862,,
52.838,0.968,0.863,,
52.933,0.969,0.864,,
53.056,0.97,0.865,,
53.2,0.971,0.866,,
53.309,0.971,0.867,,
53.428,0.972,0.868,,
53.546,0.972,0.869,,
53.649,0.973,0.87,,
53.735,0.973,0.871,,
53.843,0.974,0.872,,
53.942,0.975,0.873,,
54.058,0.975,0.874,,
54.176,0.976,0.875,,
54.296,0.976,0.876,,
54.436,0.977,0.877,,
54.562,0.977,0.878,,
54.667,0.978,0.879,,
54.787,0.978,0.88,,
54.928,0.979,0.881,,
55.075,0.98,0.882,,
55.192,0.98,0.883,,
55.3,0.981,0.884,,
55.428,0.981,0.885,,
55.548,0.982,0.886,,
55.696,0.982,0.887,,
55.802,0.983,0.888,,
55.938,0.983,0.889,,
56.059,0.983,0.89,,
56.177,0.984,0.891,,
56.31,0.984,0.892,,
56.427,0.985,0.893,,
56.538,0.985,0.894,,
56.635,0.985,0.895,,
56.801,0.986,0.896,,
56.953,0.986,0.897,,
57.104,0.987,0.897,,
57.241,0.987,0.898,,
57.363,0.988,0.899,,
57.529,0.988,0.9,,
57.65,0.988,0.901,,
57.792,0.989,0.902,,
57.905,0.989,0.903,,
58.039,0.989,0.904,,
58.158,0.99,0.905,,
58.311,0.99,0.906,,
58.433,0.99,0.907,,
58.555,0.99,0.908,,
58.751,0.991,0.909,,
58.905,0.991,0.91,,
59.087,0.992,0.911,,
59.263,0.992,0.912,,
59.399,0.992,0.913,,
59.59,0.992,0.914,,
59.789,0.993,0.915,,
59.894,0.993,0.916,,
60.037,0.993,0.917,,
60.231,0.994,0.918,,
